symbol,activate_pct,atr_mult,trades,wr,pf,exp,ret,dd,sl_initial,gave_back_avg
BTCUSDT,1.0,2.5,65,49.2,1.18,0.077,0.25,0.58,31,1.76
BTCUSDT,0.7,2.5,65,47.7,1.11,0.049,0.16,0.66,33,1.74
BTCUSDT,0.5,2.5,65,47.7,1.14,0.065,0.21,0.65,33,1.71
BTCUSDT,0.5,2.0,65,47.7,1.05,0.02,0.06,0.75,37,1.66
BTCUSDT,0.5,1.5,67,52.2,1.09,0.034,0.11,0.75,45,1.52
BTCUSDT,0.7,2.0,65,47.7,1.0,0.0,-0.0,0.78,37,1.7
BTCUSDT,0.3,2.0,65,46.2,1.03,0.013,0.04,0.72,39,1.59
ETHUSDT,1.0,2.5,50,46.0,1.53,0.32,0.8,0.83,24,2.47
ETHUSDT,0.7,2.5,50,46.0,1.58,0.343,0.86,0.78,24,2.42
ETHUSDT,0.5,2.5,50,46.0,1.59,0.345,0.86,0.77,25,2.38
ETHUSDT,0.5,2.0,51,47.1,1.7,0.371,0.95,0.71,30,2.38
ETHUSDT,0.5,1.5,53,47.2,1.34,0.182,0.48,0.93,38,2.15
ETHUSDT,0.7,2.0,51,47.1,1.7,0.37,0.95,0.7,28,2.43
ETHUSDT,0.3,2.0,51,45.1,1.7,0.37,0.95,0.73,31,2.32
SOLUSDT,1.0,2.5,52,61.5,2.74,0.89,2.33,0.74,17,3.11
SOLUSDT,0.7,2.5,52,61.5,2.76,0.894,2.34,0.74,18,3.17
SOLUSDT,0.5,2.5,52,61.5,2.8,0.901,2.36,0.74,19,3.12
SOLUSDT,0.5,2.0,53,60.4,2.54,0.811,2.17,0.7,25,2.83
SOLUSDT,0.5,1.5,53,56.6,2.94,0.901,2.41,0.63,28,2.39
SOLUSDT,0.7,2.0,53,60.4,2.47,0.798,2.13,0.7,24,2.88
SOLUSDT,0.3,2.0,53,60.4,2.63,0.829,2.21,0.67,26,2.77
XRPUSDT,1.0,2.5,45,40.0,2.26,0.967,2.19,0.56,19,3.03
XRPUSDT,0.7,2.5,45,40.0,2.29,0.979,2.21,0.56,21,2.9
XRPUSDT,0.5,2.5,45,40.0,2.3,0.982,2.22,0.56,21,2.89
XRPUSDT,0.5,2.0,46,41.3,2.12,0.812,1.87,0.74,25,2.81
XRPUSDT,0.5,1.5,46,43.5,2.12,0.698,1.61,0.8,30,2.58
XRPUSDT,0.7,2.0,46,41.3,2.04,0.782,1.8,0.8,25,2.87
XRPUSDT,0.3,2.0,46,41.3,2.12,0.812,1.87,0.73,27,2.71
DOGEUSDT,1.0,2.5,41,56.1,2.92,1.28,2.65,0.71,19,3.41
DOGEUSDT,0.7,2.5,41,56.1,2.85,1.232,2.55,0.71,20,3.28
DOGEUSDT,0.5,2.5,41,56.1,2.85,1.233,2.55,0.71,20,3.28
DOGEUSDT,0.5,2.0,42,54.8,2.79,1.179,2.49,0.73,22,3.11
DOGEUSDT,0.5,1.5,43,58.1,2.72,1.043,2.26,0.62,25,2.72
DOGEUSDT,0.7,2.0,42,54.8,2.79,1.179,2.49,0.73,22,3.11
DOGEUSDT,0.3,2.0,42,54.8,2.85,1.192,2.52,0.73,22,3.08
ARBUSDT,1.0,2.5,28,57.1,3.29,2.752,3.89,1.12,12,5.32
ARBUSDT,0.7,2.5,28,57.1,3.3,2.753,3.89,1.12,12,5.32
ARBUSDT,0.5,2.5,28,57.1,3.32,2.762,3.91,1.12,12,5.3
ARBUSDT,0.5,2.0,28,57.1,3.67,2.973,4.21,0.97,12,4.96
ARBUSDT,0.5,1.5,28,57.1,4.06,3.108,4.41,0.86,14,4.63
ARBUSDT,0.7,2.0,28,57.1,3.59,2.947,4.17,0.97,12,5.02
ARBUSDT,0.3,2.0,28,57.1,3.75,2.995,4.24,0.97,12,4.91
INJUSDT,1.0,2.5,54,40.7,1.31,0.482,1.29,2.28,34,5.16
INJUSDT,0.7,2.5,54,40.7,1.32,0.493,1.32,2.28,34,5.14
INJUSDT,0.5,2.5,54,40.7,1.32,0.493,1.32,2.28,34,5.14
INJUSDT,0.5,2.0,54,44.4,1.47,0.664,1.78,1.8,37,4.94
INJUSDT,0.5,1.5,55,52.7,1.77,0.959,2.65,1.44,39,4.46
INJUSDT,0.7,2.0,54,44.4,1.47,0.664,1.78,1.8,37,4.94
INJUSDT,0.3,2.0,54,44.4,1.5,0.696,1.87,1.73,37,4.89
SUIUSDT,1.0,2.5,35,54.3,2.6,1.475,2.6,0.6,19,3.31
SUIUSDT,0.7,2.5,35,54.3,2.62,1.48,2.6,0.6,19,3.3
SUIUSDT,0.5,2.5,35,54.3,2.64,1.488,2.62,0.6,20,3.45
SUIUSDT,0.5,2.0,35,51.4,2.11,0.963,1.69,0.57,23,3.58
SUIUSDT,0.5,1.5,35,54.3,2.44,1.116,1.96,0.44,24,3.21
SUIUSDT,0.7,2.0,35,51.4,2.0,0.917,1.61,0.6,22,3.51
SUIUSDT,0.3,2.0,35,51.4,2.12,0.968,1.7,0.57,23,3.57
